customer 1 arrived at 0.35 minutes, 	waited for 0 minutes, 	and departed at 0.8 minutes.
customer 64 arrived at 6.53333 minutes, 	waited for 0 minutes, 	and departed at 6.91667 minutes.
customer 65 arrived at 6.53333 minutes, 	waited for 0 minutes, 	and departed at 6.98333 minutes.
customer 66 arrived at 6.58333 minutes, 	waited for 0 minutes, 	and departed at 6.98333 minutes.
customer 67 arrived at 6.43333 minutes, 	waited for 0 minutes, 	and departed at 7.03333 minutes.
customer 68 arrived at 6.55 minutes, 	waited for 0 minutes, 	and departed at 7.06667 minutes.
customer 69 arrived at 6.61667 minutes, 	waited for 0 minutes, 	and departed at 7.08333 minutes.
customer 70 arrived at 6.45 minutes, 	waited for 0 minutes, 	and departed at 7.1 minutes.
customer 71 arrived at 7.48333 minutes, 	waited for 0 minutes, 	and departed at 7.78333 minutes.
customer 72 arrived at 7.4 minutes, 	waited for 0 minutes, 	and departed at 7.8 minutes.
customer 73 arrived at 7.45 minutes, 	waited for 0 minutes, 	and departed at 7.93333 minutes.
customer 74 arrived at 7.4 minutes, 	waited for 0 minutes, 	and departed at 8.03333 minutes.
customer 75 arrived at 7.58333 minutes, 	waited for 0 minutes, 	and departed at 8.05 minutes.
customer 76 arrived at 7.61667 minutes, 	waited for 0 minutes, 	and departed at 8.08333 minutes.
customer 77 arrived at 7.55 minutes, 	waited for 0 minutes, 	and departed at 8.1 minutes.
customer 78 arrived at 7.68333 minutes, 	waited for 0 minutes, 	and departed at 8.13333 minutes.
customer 79 arrived at 7.53333 minutes, 	waited for 0 minutes, 	and departed at 8.13333 minutes.
customer 80 arrived at 7.53333 minutes, 	waited for 0 minutes, 	and departed at 8.16667 minutes.
customer 81 arrived at 8.5 minutes, 	waited for 0 minutes, 	and departed at 8.83333 minutes.
customer 82 arrived at 8.48333 minutes, 	waited for 0 minutes, 	and departed at 8.91667 minutes.
customer 83 arrived at 8.46667 minutes, 	waited for 0 minutes, 	and departed at 8.95 minutes.
customer 84 arrived at 8.46667 minutes, 	waited for 0 minutes, 	and departed at 8.95 minutes.
customer 85 arrived at 8.51667 minutes, 	waited for 0 minutes, 	and departed at 9.06667 minutes.
customer 86 arrived at 8.43333 minutes, 	waited for 0 minutes, 	and departed at 9.08333 minutes.
customer 87 arrived at 8.51667 minutes, 	waited for 0 minutes, 	and departed at 9.08333 minutes.
customer 88 arrived at 8.5 minutes, 	waited for 0 minutes, 	and departed at 9.1 minutes.
customer 89 arrived at 8.6 minutes, 	waited for 0 minutes, 	and departed at 9.1 minutes.
customer 90 arrived at 8.68333 minutes, 	waited for 0 minutes, 	and departed at 9.21667 minutes.
customer 91 arrived at 9.48333 minutes, 	waited for 0 minutes, 	and departed at 9.81667 minutes.
customer 92 arrived at 9.43333 minutes, 	waited for 0 minutes, 	and departed at 9.81667 minutes.
customer 93 arrived at 9.4 minutes, 	waited for 0 minutes, 	and departed at 9.81667 minutes.
customer 94 arrived at 9.4 minutes, 	waited for 0 minutes, 	and departed at 9.91667 minutes.
customer 95 arrived at 9.5 minutes, 	waited for 0 minutes, 	and departed at 9.91667 minutes.
customer 96 arrived at 9.41667 minutes, 	waited for 0 minutes, 	and departed at 9.91667 minutes.
customer 97 arrived at 9.55 minutes, 	waited for 0 minutes, 	and departed at 9.96667 minutes.
customer 98 arrived at 9.53333 minutes, 	waited for 0 minutes, 	and departed at 9.98333 minutes.
customer 99 arrived at 9.65 minutes, 	waited for 0 minutes, 	and departed at 10.1833 minutes.
customer 100 arrived at 9.63333 minutes, 	waited for 0 minutes, 	and departed at 10.3167 minutes.
