customer 1 arrived at 0.0833333 minutes, 	waited for 0 minutes, 	and departed at 1.08333 minutes.
customer 38 arrived at 3.85 minutes, 	waited for 0.0333333 minutes, 	and departed at 4.88333 minutes.
customer 39 arrived at 3.86667 minutes, 	waited for 0.0666667 minutes, 	and departed at 4.93333 minutes.
customer 40 arrived at 3.98333 minutes, 	waited for 0 minutes, 	and departed at 4.98333 minutes.
customer 41 arrived at 4.01667 minutes, 	waited for 0.116667 minutes, 	and departed at 5.13333 minutes.
customer 42 arrived at 4.08333 minutes, 	waited for 0.116667 minutes, 	and departed at 5.2 minutes.
customer 43 arrived at 4.25 minutes, 	waited for 0.3 minutes, 	and departed at 5.55 minutes.
customer 44 arrived at 4.36667 minutes, 	waited for 0.333333 minutes, 	and departed at 5.7 minutes.
customer 45 arrived at 4.38333 minutes, 	waited for 0.45 minutes, 	and departed at 5.83333 minutes.
customer 46 arrived at 4.48333 minutes, 	waited for 0.366667 minutes, 	and departed at 5.85 minutes.
customer 47 arrived at 4.5 minutes, 	waited for 0.366667 minutes, 	and departed at 5.86667 minutes.
customer 48 arrived at 4.55 minutes, 	waited for 0.333333 minutes, 	and departed at 5.88333 minutes.
customer 49 arrived at 4.68333 minutes, 	waited for 0.25 minutes, 	and departed at 5.93333 minutes.
customer 50 arrived at 4.93333 minutes, 	waited for 0.05 minutes, 	and departed at 5.98333 minutes.
customer 51 arrived at 5.05 minutes, 	waited for 0.0833333 minutes, 	and departed at 6.13333 minutes.
customer 52 arrived at 5.16667 minutes, 	waited for 0.0333333 minutes, 	and departed at 6.2 minutes.
customer 53 arrived at 5.2 minutes, 	waited for 0.35 minutes, 	and departed at 6.55 minutes.
customer 54 arrived at 5.3 minutes, 	waited for 0.4 minutes, 	and departed at 6.7 minutes.
customer 55 arrived at 5.3 minutes, 	waited for 0.533333 minutes, 	and departed at 6.83333 minutes.
customer 56 arrived at 5.61667 minutes, 	waited for 0.233333 minutes, 	and departed at 6.85 minutes.
customer 57 arrived at 5.83333 minutes, 	waited for 0.0333333 minutes, 	and departed at 6.86667 minutes.
customer 58 arrived at 5.85 minutes, 	waited for 0.0333333 minutes, 	and departed at 6.88333 minutes.
customer 59 arrived at 5.86667 minutes, 	waited for 0.0666667 minutes, 	and departed at 6.93333 minutes.
customer 60 arrived at 5.96667 minutes, 	waited for 0.0166667 minutes, 	and departed at 6.98333 minutes.
customer 61 arrived at 6.01667 minutes, 	waited for 0.116667 minutes, 	and departed at 7.13333 minutes.
customer 62 arrived at 6.05 minutes, 	waited for 0.15 minutes, 	and departed at 7.2 minutes.
customer 63 arrived at 6.21667 minutes, 	waited for 0.333333 minutes, 	and departed at 7.55 minutes.
customer 64 arrived at 6.25 minutes, 	waited for 0.45 minutes, 	and departed at 7.7 minutes.
customer 65 arrived at 6.33333 minutes, 	waited for 0.5 minutes, 	and departed at 7.83333 minutes.
customer 66 arrived at 6.35 minutes, 	waited for 0.5 minutes, 	and departed at 7.85 minutes.
customer 67 arrived at 6.36667 minutes, 	waited for 0.5 minutes, 	and departed at 7.86667 minutes.
customer 68 arrived at 6.55 minutes, 	waited for 0.333333 minutes, 	and departed at 7.88333 minutes.
customer 69 arrived at 6.61667 minutes, 	waited for 0.316667 minutes, 	and departed at 7.93333 minutes.
customer 70 arrived at 6.96667 minutes, 	waited for 0.0166667 minutes, 	and departed at 7.98333 minutes.
customer 71 arrived at 7.15 minutes, 	waited for 0 minutes, 	and departed at 8.15 minutes.
customer 72 arrived at 7.23333 minutes, 	waited for 0 minutes, 	and departed at 8.23333 minutes.
customer 73 arrived at 7.45 minutes, 	waited for 0.1 minutes, 	and departed at 8.55 minutes.
customer 74 arrived at 7.46667 minutes, 	waited for 0.233333 minutes, 	and departed at 8.7 minutes.
customer 75 arrived at 7.46667 minutes, 	waited for 0.366667 minutes, 	and departed at 8.83333 minutes.
customer 76 arrived at 7.8 minutes, 	waited for 0.05 minutes, 	and departed at 8.85 minutes.
customer 77 arrived at 7.81667 minutes, 	waited for 0.05 minutes, 	and departed at 8.86667 minutes.
customer 78 arrived at 7.86667 minutes, 	waited for 0.0166667 minutes, 	and departed at 8.88333 minutes.
customer 79 arrived at 7.88333 minutes, 	waited for 0.05 minutes, 	and departed at 8.93333 minutes.
customer 80 arrived at 7.88333 minutes, 	waited for 0.1 minutes, 	and departed at 8.98333 minutes.
customer 81 arrived at 8 minutes, 	waited for 0.15 minutes, 	and departed at 9.15 minutes.
customer 82 arrived at 8 minutes, 	waited for 0.233333 minutes, 	and departed at 9.23333 minutes.
customer 83 arrived at 8.03333 minutes, 	waited for 0.516667 minutes, 	and departed at 9.55 minutes.
customer 84 arrived at 8.16667 minutes, 	waited for 0.533333 minutes, 	and departed at 9.7 minutes.
customer 85 arrived at 8.18333 minutes, 	waited for 0.65 minutes, 	and departed at 9.83333 minutes.
customer 86 arrived at 8.38333 minutes, 	waited for 0.466667 minutes, 	and departed at 9.85 minutes.
customer 87 arrived at 8.75 minutes, 	waited for 0.116667 minutes, 	and departed at 9.86667 minutes.
customer 88 arrived at 8.86667 minutes, 	waited for 0.0166667 minutes, 	and departed at 9.88333 minutes.
customer 89 arrived at 8.86667 minutes, 	waited for 0.0666667 minutes, 	and departed at 9.93333 minutes.
customer 90 arrived at 8.98333 minutes, 	waited for 0 minutes, 	and departed at 9.98333 minutes.
customer 91 arrived at 9.01667 minutes, 	waited for 0.133333 minutes, 	and departed at 10.15 minutes.
customer 92 arrived at 9.13333 minutes, 	waited for 0.1 minutes, 	and departed at 10.2333 minutes.
customer 93 arrived at 9.31667 minutes, 	waited for 0.233333 minutes, 	and departed at 10.55 minutes.
customer 94 arrived at 9.41667 minutes, 	waited for 0.283333 minutes, 	and departed at 10.7 minutes.
customer 95 arrived at 9.63333 minutes, 	waited for 0.2 minutes, 	and departed at 10.8333 minutes.
customer 96 arrived at 9.88333 minutes, 	waited for 0 minutes, 	and departed at 10.8833 minutes.
customer 97 arrived at 9.91667 minutes, 	waited for 0 minutes, 	and departed at 10.9167 minutes.
customer 98 arrived at 9.91667 minutes, 	waited for 0 minutes, 	and departed at 10.9167 minutes.
customer 99 arrived at 9.96667 minutes, 	waited for 0 minutes, 	and departed at 10.9667 minutes.
customer 100 arrived at 9.98333 minutes, 	waited for 0 minutes, 	and departed at 10.9833 minutes.
